,N,S,W,E
80,2105531.9644518094,3048065.4100365434,3390953.8637598716,3446946.044181283
90,2078324.1385358884,3043727.9307614127,3406938.510757858,3460305.866563074
100,2070427.700322982,2982207.1187521773,3418122.3973335424,3471954.1960762125
120,1988476.0322572752,2910690.714037518,3474806.9293503454,3533212.137537587
130,1942130.8015705757,2908418.718578158,3496682.3950862195,3555829.904180814
