,HV_current,HV_voltage,dose_corrected
0,0.0648649,50.5882,0.399449
1,0.0735135,55.0,0.3994490000000001
2,0.07956759,58.88235,2.7961441
3,0.08216219999999998,59.97059,5.1928392
4,0.09124323,63.6875,5.1928392
5,0.0951351,65.0,2.7961441
6,0.10335155,70.0,7.589534299999999
7,0.1063786,70.9697,0.3994490000000001
8,0.116757,74.84850000000002,2.7961441
9,0.1310271,79.57576,12.382924499999998
10,0.13664869999999998,81.5,7.589534299999999
11,0.14745940000000002,85.0303,2.7961441
12,0.16554300000000005,89.30301999999999,7.589534299999999
13,0.17409100000000005,91.54545,5.1928392
14,0.187273,95.0,0.3994490000000001
15,0.199091,97.72856999999999,0.3994490000000001
16,0.21383474000000002,100.0,4.234161159999999
17,0.2342606,103.5,7.589534300000001
18,0.241304,105.0,2.7961441
19,0.2656524444444444,109.44444444444444,5.725438111111112
20,0.27534809999999993,110.96,7.589534300000002
21,0.2988261,114.86,5.1928392
22,0.3209522999999999,117.56,9.986229400000003
23,0.3523808,121.22,5.192839199999999
24,0.3814282000000001,124.76000000000002,5.192839199999999
25,0.4043808,127.50100000000002,7.589534299999999
26,0.4276,130.1456,9.9862294
27,0.4364,131.2056,2.7961441
28,0.4716,135.29999999999998,2.7961441
29,0.5100800000000001,138.66,12.3829245
30,0.52444,140.09999999999997,2.7961441
31,0.52488,140.13,7.589534299999999
32,0.5768000000000001,145.20000000000005,7.589534299999999
33,0.58516,146.64,5.1928392
34,0.6098000000000001,148.11,5.1928392
35,0.6247599999999999,150.0,2.7961441
